legendary_action_id,name,desc,attack_bonus,damage_dice
1,Aboleth - Detect,The aboleth makes a Wisdom (Perception) check.,0,
2,Aboleth - Tail Swipe,The aboleth makes one tail attack.,0,
3,Aboleth - Psychic Drain (Costs 2 Actions),"One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",0,
4,Adult Black Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
5,Adult Black Dragon - Tail Attack,The dragon makes a tail attack.,0,
6,Adult Black Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
7,Adult Blue Dracolich - Detect,The dracolich makes a Wisdom (Perception) check.,0,
8,Adult Blue Dracolich - Tail Attack,The dracolich makes a tail attack.,0,
9,Adult Blue Dracolich - Wing Attack (Costs 2 Actions),"The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.",0,
10,Adult Blue Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
11,Adult Blue Dragon - Tail Attack,The dragon makes a tail attack.,0,
12,Adult Blue Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
13,Adult Bronze Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
14,Adult Bronze Dragon - Tail Attack,The dragon makes a tail attack.,0,
15,Adult Bronze Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
16,Adult Copper Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
17,Adult Copper Dragon - Tail Attack,The dragon makes a tail attack.,0,
18,Adult Copper Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
19,Adult Gold Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
20,Adult Gold Dragon - Tail Attack,The dragon makes a tail attack.,0,
21,Adult Gold Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
22,Adult Green Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
23,Adult Green Dragon - Tail Attack,The dragon makes a tail attack.,0,
24,Adult Green Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
25,Adult Red Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
26,Adult Red Dragon - Tail Attack,The dragon makes a tail attack.,0,
27,Adult Red Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
28,Adult Silver Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
29,Adult Silver Dragon - Tail Attack,The dragon makes a tail attack.,0,
30,Adult Silver Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
31,Adult White Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
32,Adult White Dragon - Tail Attack,The dragon makes a tail attack.,0,
33,Adult White Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
34,Ancient Black Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
35,Ancient Black Dragon - Tail Attack,The dragon makes a tail attack.,0,
36,Ancient Black Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
37,Ancient Blue Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
38,Ancient Blue Dragon - Tail Attack,The dragon makes a tail attack.,0,
39,Ancient Blue Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
40,Ancient Brass Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
41,Ancient Brass Dragon - Tail Attack,The dragon makes a tail attack.,0,
42,Ancient Brass Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
43,Ancient Bronze Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
44,Ancient Bronze Dragon - Tail Attack,The dragon makes a tail attack.,0,
45,Ancient Bronze Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
46,Ancient Copper Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
47,Ancient Copper Dragon - Tail Attack,The dragon makes a tail attack.,0,
48,Ancient Copper Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
49,Ancient Gold Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
50,Ancient Gold Dragon - Tail Attack,The dragon makes a tail attack.,0,
51,Ancient Gold Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
52,Ancient Green Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
53,Ancient Green Dragon - Tail Attack,The dragon makes a tail attack.,0,
54,Ancient Green Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
55,Ancient Red Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
56,Ancient Red Dragon - Tail Attack,The dragon makes a tail attack.,0,
57,Ancient Red Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
58,Ancient Silver Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
59,Ancient Silver Dragon - Tail Attack,The dragon makes a tail attack.,0,
60,Ancient Silver Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 25 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
61,Androsphinx - Claw Attack,The sphinx makes one claw attack.,0,
62,Androsphinx - Teleport (Costs 2 Actions),"The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.",0,
63,Androsphinx - Cast a Spell (Costs 3 Actions),"The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.",0,
64,Gynosphinx - Claw Attack,The sphinx makes one claw attack.,0,
65,Gynosphinx - Teleport (Costs 2 Actions),"The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.",0,
66,Gynosphinx - Cast a Spell (Costs 3 Actions),"The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.",0,
67,Kraken - Tentacle Attack or Fling,The kraken makes one tentacle attack or uses its Fling.,0,
68,Kraken - Lightning Storm (Costs 2 Actions),The kraken uses Lightning Storm.,0,
69,Kraken - Ink Cloud (Costs 3 Actions),"While underwater, the kraken expels an ink cloud in a 60-foot radius. The cloud spreads around corners, and that area is heavily obscured to creatures other than the kraken. Each creature other than the kraken that ends its turn there must succeed on a DC 23 Constitution saving throw, taking 16 (3d10) poison damage on a failed save, or half as much damage on a successful one. A strong current disperses the cloud, which otherwise disappears at the end of the kraken's next turn.",0,
70,Lich - Cantrip,The lich casts a cantrip.,0,
71,Lich - Paralyzing Touch (Costs 2 Actions),The lich uses its Paralyzing Touch.,0,
72,Lich - Frightening Gaze (Costs 2 Actions),"The lich fixes its gaze on one creature it can see within 10 feet of it. The target must succeed on a DC 18 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the lich's gaze for the next 24 hours.",0,
73,Lich - Disrupt Life (Costs 3 Actions),"Each living creature within 20 feet of the lich must make a DC 18 Constitution saving throw against this magic, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.",0,6d6
74,Mummy Lord - Attack,The mummy lord makes one attack with its rotting fist or uses its Dreadful Glare.,0,
75,Mummy Lord - Blinding Dust,Blinding dust and sand swirls magically around the mummy lord. Each creature within 5 feet of the mummy lord must succeed on a DC 16 Constitution saving throw or be blinded until the end of the creature's next turn.,0,
76,Mummy Lord - Blasphemous Word (Costs 2 Actions),The mummy lord utters a blasphemous word. Each non-undead creature within 10 feet of the mummy lord that can hear the magical utterance must succeed on a DC 16 Constitution saving throw or be stunned until the end of the mummy lord's next turn.,0,
77,Mummy Lord - Channel Negative Energy (Costs 2 Actions),"The mummy lord magically unleashes negative energy. Creatures within 60 feet of the mummy lord, including ones behind barriers and around corners, can't regain hit points until the end of the mummy lord's next turn.",0,
78,Mummy Lord - Whirlwind of Sand (Costs 2 Actions),"The mummy lord magically transforms into a whirlwind of sand, moves up to 60 feet, and reverts to its normal form. While in whirlwind form, the mummy lord is immune to all damage, and it can't be grappled, petrified, knocked prone, restrained, or stunned. Equipment worn or carried by the mummy lord remain in its possession.",0,
79,Solar - Teleport,"The solar magically teleports, along with any equipment it is wearing or carrying, up to 120 ft. to an unoccupied space it can see.",0,
80,Solar - Searing Burst (Costs 2 Actions),"The solar emits magical, divine energy. Each creature of its choice in a 10 -foot radius must make a DC 23 Dexterity saving throw, taking 14 (4d6) fire damage plus 14 (4d6) radiant damage on a failed save, or half as much damage on a successful one.",0,
81,Solar - Blinding Gaze (Costs 3 Actions),"The solar targets one creature it can see within 30 ft. of it. If the target can see it, the target must succeed on a DC 15 Constitution saving throw or be blinded until magic such as the lesser restoration spell removes the blindness.",0,
82,Tarrasque - Attack,The tarrasque makes one claw attack or tail attack.,0,
83,Tarrasque - Move,The tarrasque moves up to half its speed.,0,
84,Tarrasque - Chomp (Costs 2 Actions),The tarrasque makes one bite attack or uses its Swallow.,0,
85,Unicorn - Hooves,The unicorn makes one attack with its hooves.,0,
86,Unicorn - Shimmering Shield (Costs 2 Actions),"The unicorn creates a shimmering, magical field around itself or another creature it can see within 60 ft. of it. The target gains a +2 bonus to AC until the end of the unicorn's next turn.",0,
87,Unicorn - Heal Self (Costs 3 Actions),The unicorn magically regains 11 (2d8 + 2) hit points.,0,
88,Vampire - Move,The vampire moves up to its speed without provoking opportunity attacks.,0,
89,Vampire - Unarmed Strike,The vampire makes one unarmed strike.,0,
90,Vampire - Bite (Costs 2 Actions),The vampire makes one bite attack.,0,
